status	subject	predicate	object
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	isHabitantOf	Temple_of_the_Rock
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	likedBy	Mechanimists
TP	Phinae_Hoshaiah_High_Priest_of_the_Rock	memberOf	Mechanimists
TP	Reclamation	involvesFightWith	Girsh
TP	Reclamation	requiresCompleting	The_Golem
TP	Sparafucile	hasRace	Urshiib
TP	Sparafucile	isHabitantOf	Grit_Gate
TP	Sparafucile	memberOf	Barathrumites
TP	Sparafucile_s_Carbine	isRewardFor	More_Than_a_Willing_Spirit
TP	Starformed_Ehalcodon	memberOf	Girsh
TP	Temple_of_the_Rock	locatedInPlace	Bethesda_Susa
TP	We_Are_Starfreight	requiresCompleting	Reclamation
TP	We_Are_Starfreight	takesPlaceIn	Omonporch
TP	We_Are_Starfreight	takesPlaceIn	Starfarers_Quay
TP	Weirdwire_Conduit_Eureka!	rewardsWith	Joppa_Recoiler
TP	alchemist	hasRole	Fighter_NonBoss
TP	alchemist	hasRole	Trader_high
TP	alchemist	isHabitantOf	Bethesda_Susa
TP	quantum_mote	isRewardFor	Pax_Qlanq_I_Presume?
FP	A_Call_to_Arms	involvesFightWith	Barathrumites
FP	A_Call_to_Arms	requiresCompleting	A_Canticle_for_Barathrum
FP	A_Canticle_for_Barathrum	involvesFightWith	Barathrumites
FP	A_Canticle_for_Barathrum	requiresCompleting	A_Call_to_Arms
FP	A_Canticle_for_Barathrum	requiresCompleting	Decoding_the_Signal
FP	A_Canticle_for_Barathrum	requiresCompleting	More_Than_a_Willing_Spirit
FP	A_Canticle_for_Barathrum	requiresCompleting	The_Earl_of_Omonporch
FP	Argyve	isHabitantOf	Grit_Gate
FP	Argyve	likedBy	Mechanimists
FP	Argyve	memberOf	Mechanimists
FP	Baetyl	isHabitantOf	Temple_of_the_Rock
FP	Barathrum_the_Old	giveQuest	Pax_Qlanq_I_Presume?
FP	Barathrum_the_Old	hasRace	Fungi
FP	Barathrum_the_Old	hasRace	Robot
FP	Barathrum_the_Old	isHabitantOf	Omonporch
FP	Barathrum_the_Old	isHabitantOf	Rainbow_Wood
FP	Barathrum_the_Old	isHabitantOf	Starfarers_Quay
FP	Barathrum_the_Old	likedBy	Barathrumites
FP	Barathrumites	foughtIn	A_Call_to_Arms
FP	Barathrumites	foughtIn	A_Canticle_for_Barathrum
FP	Barathrumites	foughtIn	Decoding_the_Signal
FP	Barathrumites	foughtIn	More_Than_a_Willing_Spirit
FP	Barathrumites	foughtIn	The_Earl_of_Omonporch
FP	Barathrumites	hasMember	Argyve
FP	Barathrumites	hasMember	Otho
FP	Barathrumites	hates	Barathrumites
FP	Barathrumites	hates	Girsh
FP	Barathrumites	hates	Putus_Templar
FP	Decoding_the_Signal	involvesFightWith	Barathrumites
FP	Decoding_the_Signal	involvesFightWith	Mechanimists
FP	Decoding_the_Signal	requiresCompleting	A_Call_to_Arms
FP	Decoding_the_Signal	requiresCompleting	A_Canticle_for_Barathrum
FP	Decoding_the_Signal	requiresCompleting	The_Earl_of_Omonporch
FP	Decoding_the_Signal	takesPlaceIn	Grit_Gate
FP	Fungi	hasIndividual	Barathrum_the_Old
FP	Fungi	hasIndividual	Pax_Qlanq
FP	Girsh	foughtIn	Reclamation
FP	Girsh	hates	Barathrumites
FP	Girsh	hates	Putus_Templar
FP	Golem	likedBy	Mechanimists
FP	Golem	memberOf	Mechanimists
FP	Golgotha	hostsQuest	More_Than_a_Willing_Spirit
FP	Grit_Gate	hasInhabitant	Argyve
FP	Grit_Gate	hasInhabitant	Otho
FP	Grit_Gate	hostsQuest	A_Call_to_Arms
FP	Grit_Gate	hostsQuest	A_Canticle_for_Barathrum
FP	Grit_Gate	hostsQuest	Decoding_the_Signal
FP	Grit_Gate	hostsQuest	The_Earl_of_Omonporch
FP	Grit_Gate	hostsQuest	Weirdwire_Conduit_Eureka!
FP	Kun	likedBy	Girsh
FP	Mechanimists	hasMember	Argyve
FP	Mechanimists	hasMember	Golem
FP	Mechanimists	hasMember	Otho
FP	Mechanimists	hates	Mechanimists
FP	More_Than_a_Willing_Spirit	involvesFightWith	Barathrumites
FP	More_Than_a_Willing_Spirit	requiresCompleting	A_Canticle_for_Barathrum
FP	Omonporch	hasInhabitant	Reseph
FP	Omonporch	hostsQuest	Reclamation
FP	Otho	likedBy	Barathrumites
FP	Otho	likedBy	Mechanimists
FP	Otho	memberOf	Mechanimists
FP	Otho	memberOf	Putus_Templar
FP	Pax_Qlanq	giveQuest	Pax_Qlanq_I_Presume?
FP	Phinae_Hoshaiah_High_Priest_of_the_Rock	giveQuest	Decoding_the_Signal
FP	Putus_Templar	foughtIn	The_Earl_of_Omonporch
FP	Putus_Templar	hasMember	Otho
FP	Putus_Templar	hates	Barathrumites
FP	Putus_Templar	hates	Girsh
FP	Rainbow_Wood	hasInhabitant	Barathrum_the_Old
FP	Rainbow_Wood	hostsQuest	Pax_Qlanq_I_Presume?
FP	Reclamation	requiresCompleting	We_Are_Starfreight
FP	Reclamation	takesPlaceIn	Grit_Gate
FP	Reclamation	takesPlaceIn	Omonporch
FP	Reclamation	takesPlaceIn	Starfarers_Quay
FP	Reseph	isHabitantOf	Omonporch
FP	Reseph	isHabitantOf	Starfarers_Quay
FP	Starfarers_Quay	hasInhabitant	Reseph
FP	Starfarers_Quay	hostsQuest	Reclamation
FP	Temple_of_the_Rock	hostsQuest	Decoding_the_Signal
FP	Temple_of_the_Rock	hostsQuest	More_Than_a_Willing_Spirit
FP	The_Earl_of_Omonporch	involvesFightWith	Barathrumites
FP	The_Earl_of_Omonporch	involvesFightWith	Putus_Templar
FP	The_Earl_of_Omonporch	isGivenBy	Otho
FP	The_Earl_of_Omonporch	requiresCompleting	A_Call_to_Arms
FP	The_Earl_of_Omonporch	requiresCompleting	A_Canticle_for_Barathrum
FP	The_Earl_of_Omonporch	requiresCompleting	Decoding_the_Signal
FP	The_Earl_of_Omonporch	takesPlaceIn	Grit_Gate
FP	The_Golem	requiresCompleting	Reclamation
FP	Tomb_of_the_Eaters	isGivenBy	Herodododicus
FP	We_Are_Starfreight	isGivenBy	Reseph
FP	We_Are_Starfreight	takesPlaceIn	Grit_Gate
FP	Weirdwire_Conduit_Eureka!	isGivenBy	Argyve
FP	Weirdwire_Conduit_Eureka!	takesPlaceIn	Grit_Gate
FN	A_Canticle_for_Barathrum	involvesFinding	Otho
FN	Barathrumites	likes	Argyve
FN	Barathrumites	likes	Kun
FN	Barathrumites	likes	Otho
FN	Decoding_the_Signal	involvesFinding	Baetyl
FN	Joppa	hasInhabitant	Argyve
FN	Kun	dislikedBy	Girsh
FN	Kun	dislikedBy	Putus_Templar
FN	Kun	spawnsIn	Joppa
FN	More_Than_a_Willing_Spirit	involvesFinding	Scrapped_Waydroid
FN	More_Than_a_Willing_Spirit	takesPlaceIn	Golgotha
FN	Otho	giveQuest	Decoding_the_Signal
FN	Otho	giveQuest	More_Than_a_Willing_Spirit
FN	Otho	giveQuest	The_Earl_of_Omonporch
FN	Otho	isSearchTargetIn	A_Canticle_for_Barathrum
FN	Pax_Qlanq_I_Presume?	involvesFinding	Pax_Qlanq
FN	Pax_Qlanq_I_Presume?	isGivenBy	Barathrum_the_Old
FN	Putus_Templar	dislikes	Kun
FN	Rust_Wells	hostsQuest	Weirdwire_Conduit_Eureka!
FN	Tomb_of_the_Eaters	involvesFinding	Herodododicus
FN	We_Are_Starfreight	involvesFinding	Reseph
FN	We_Are_Starfreight	isGivenBy	Barathrum_the_Old
