status	subject	predicate	object
FP	Grit_Gate	hostsQuest	A_Canticle_for_Barathrum
FP	Grit_Gate	hostsQuest	Decoding_the_Signal
FP	Grit_Gate	hostsQuest	Reclamation
FP	Grit_Gate	hostsQuest	The_Earl_of_Omonporch
FP	Grit_Gate	hostsQuest	We_Are_Starfreight
FP	Mechanimists	hasMember	Golem
FP	Mechanimists	hasMember	Phinae_Hoshaiah_High_Priest_of_the_Rock
FP	Mechanimists	hates	Barathrumites
FP	Mechanimists	hates	Girsh
FP	Mechanimists	hates	Mechanimists
FP	More_Than_a_Willing_Spirit	requiresCompleting	A_Canticle_for_Barathrum
FP	More_Than_a_Willing_Spirit	requiresCompleting	Decoding_the_Signal
FP	Mutated_Human	hasIndividual	Phinae_Hoshaiah_High_Priest_of_the_Rock
FP	Omonporch	hasInhabitant	Asphodel_Earl_of_Omonporch
FP	Omonporch	hasInhabitant	Barathrum_the_Old
FP	Omonporch	hasInhabitant	Reseph
FP	Putus_Templar	foughtIn	A_Call_to_Arms
FP	Putus_Templar	foughtIn	The_Earl_of_Omonporch
FP	Putus_Templar	hates	Barathrumites
FP	Putus_Templar	hates	Girsh
FP	Rainbow_Wood	hasInhabitant	Barathrum_the_Old
FP	Rainbow_Wood	hasInhabitant	Pax_Qlanq
FP	Reclamation	requiresCompleting	We_Are_Starfreight
FP	Reseph	isHabitantOf	Omonporch
FP	Reseph	isHabitantOf	Starfarers_Quay
FP	Sentient_Plant	hasIndividual	Asphodel_Earl_of_Omonporch
FP	Starfarers_Quay	hasInhabitant	Barathrum_the_Old
FP	Starfarers_Quay	hasInhabitant	Reseph
FP	Temple_of_the_Rock	hasInhabitant	Baetyl
FP	Temple_of_the_Rock	hasInhabitant	Phinae_Hoshaiah_High_Priest_of_the_Rock
FP	The_Earl_of_Omonporch	involvesFightWith	Putus_Templar
FP	The_Earl_of_Omonporch	requiresCompleting	A_Call_to_Arms
FP	The_Earl_of_Omonporch	requiresCompleting	A_Canticle_for_Barathrum
FP	The_Earl_of_Omonporch	requiresCompleting	Decoding_the_Signal
FP	The_Golem	requiresCompleting	Reclamation
FP	Urshiib	hasIndividual	Barathrum_the_Old
FP	Urshiib	hasIndividual	Otho
FP	Urshiib	hasIndividual	Sparafucile
FN	A_Call_to_Arms	isGivenBy	Otho
FN	A_Canticle_for_Barathrum	involvesFinding	Otho
FN	A_Canticle_for_Barathrum	isGivenBy	Argyve
FN	A_Canticle_for_Barathrum	requiresCompleting	Weirdwire_Conduit_Eureka!
FN	A_Canticle_for_Barathrum	takesPlaceIn	Grit_Gate
FN	Argyve	giveQuest	Weirdwire_Conduit_Eureka!
FN	Argyve	likedBy	Barathrumites
FN	Argyve	memberOf	Barathrumites
FN	Barathrum_the_Old	giveQuest	Reclamation
FN	Barathrum_the_Old	giveQuest	We_Are_Starfreight
FN	Barathrum_the_Old	memberOf	Barathrumites
FN	Barathrumites	likes	Argyve
FN	Barathrumites	likes	Kun
FN	Barathrumites	likes	Otho
FN	Decoding_the_Signal	involvesFinding	Baetyl
FN	Kun	dislikedBy	Girsh
FN	Kun	dislikedBy	Putus_Templar
FN	Kun	likedBy	Barathrumites
FN	Kun	spawnsIn	Joppa
FN	More_Than_a_Willing_Spirit	involvesFinding	Scrapped_Waydroid
FN	More_Than_a_Willing_Spirit	rewardsWith	Sparafucile_s_Carbine
FN	More_Than_a_Willing_Spirit	takesPlaceIn	Golgotha
FN	Otho	giveQuest	A_Call_to_Arms
FN	Otho	giveQuest	Decoding_the_Signal
FN	Otho	giveQuest	More_Than_a_Willing_Spirit
FN	Otho	giveQuest	The_Earl_of_Omonporch
FN	Otho	isSearchTargetIn	A_Canticle_for_Barathrum
FN	Pax_Qlanq_I_Presume?	involvesFinding	Pax_Qlanq
FN	Pax_Qlanq_I_Presume?	isGivenBy	Barathrum_the_Old
FN	Pax_Qlanq_I_Presume?	rewardsWith	quantum_mote
FN	Pax_Qlanq_I_Presume?	takesPlaceIn	Rainbow_Wood
FN	Phinae_Hoshaiah_High_Priest_of_the_Rock	likedBy	Mechanimists
FN	Phinae_Hoshaiah_High_Priest_of_the_Rock	memberOf	Mechanimists
FN	Putus_Templar	dislikes	Kun
FN	Rust_Wells	hostsQuest	Weirdwire_Conduit_Eureka!
FN	Sparafucile	memberOf	Barathrumites
FN	Sparafucile_s_Carbine	isRewardFor	More_Than_a_Willing_Spirit
FN	Starformed_Ehalcodon	memberOf	Girsh
FN	Temple_of_the_Rock	locatedInPlace	Bethesda_Susa
FN	Tomb_of_the_Eaters	involvesFinding	Herodododicus
FN	We_Are_Starfreight	involvesFinding	Reseph
FN	We_Are_Starfreight	isGivenBy	Barathrum_the_Old
FN	We_Are_Starfreight	takesPlaceIn	Omonporch
FN	We_Are_Starfreight	takesPlaceIn	Starfarers_Quay
FN	Weirdwire_Conduit_Eureka!	rewardsWith	Joppa_Recoiler
FN	quantum_mote	isRewardFor	Pax_Qlanq_I_Presume?
